flag,runner_name,is_wr,is_pb,in_game_time,re_timed_time,date,days_since,src_status,seed,instances(depracated),depracated,link,minutes,seconds,milliseconds,total_milliseconds,total_seconds,rounding,current_wr,normal_time,wr_at_time,normal_time,decay,weight,k,run_score,non_weighted_run_score,current_wr_run_score,dynamic_k,blank,iron_source,has_tnt,enter_type,enter_time,enter_structure1_split,structure_1_time,structure1_type,structure1_split,structure1_exit_time,structure1_structure2_split,structure2_time,structure2_type,structure_2_split,structure2_exit,blaze_rates_string,blaze_rods_dropped,blazes_killed,blaze_rates_decimal,structure2_exit_exit1_split,rods_obtained_pre_exit1,num_exits,exit1_time,stronghold_travel_type,triangulation_split,eyes_thrown,eye_breaks,eyes_left,total_eye_loss,reenter_time,exit_2_split,stronghold_distance,<400,400-1000,1000-1500,1500-2000,200+,exit_2_time,theoretical_blind,nether_split,total_nether,total_ow2,post_blind,structure2_finish_split,structure2_exit_stronghold_split,stronghold_time,portal_room_locator_type,stronghold_split,frames_filled,frames_needed,end_enter_time,end_type,explosives_used,rotations,zero_explosivies,perch_explosives,end_spawn_type,dragon_node,dragon_location,dragon_angle,tower_height,tower,standing_height,end_split,truncated_igt,bastion_type,bastion_route,chests_checked,depracated,bastion_enter_time,bastion_enter_route_start_split,route_start_time,route_split,total_bastion_split,bastion_exit_time,obsidian,string,glowstone,arrows,pearls,crying_obsidian,days_since,elo_weight,elo,timeloss
🇺🇸,lowkey,1,1,6:48.508,6:50.359,11 Jun 2025,327,(V),-8717682453392808086,,Yes,https://www.speedrun.com/mc/runs/m7l7960y,6,50,359,410359,410,0,410359,1,421494,0.9735820676,-0.0005,0.8492,0.5035994192,860.6933,1013.5743,1000.0000,0.60000,,BT,🗙,2x1 Magma,1:39,0:23,2:02,Bridge,1:58,4:00,0:00,4:00,Fort,0:32,4:32,6/6,6,6,1.00,0:12,Yes,2,4:44,Calc,0:25,2,0,0,0,5:09,0:33,1289,0,0,1,0,0,5:42,4:44,3:05,3:38,1:12,2:04,2:48,1:10,5:42,Prempt,0:14,1,,5:56,Zero,6,4,6,--,O,B Diag,B,Diag,85,M85,99,0:52,6:48,Bridge,DK,6,DT,2:02,,,,1:58,4:00,28,82,22,40,,24,327,0.03030088679,30.71219862,"Nether enter, bastion split, stronghold distance"
🇨🇦,Jay12310,0,1,6:56.051,6:56.731,04 Feb 2026,89,(Q),6044301913007956989,,,https://www.youtube.com/watch?v=4sFehCZWJv4,6,56,731,416731,417,1,410359,1.015527867,410359,1.015527867,-0.0005,0.9565,0.6655939656,946.7163,989.7966,989.9285,0.65695,,BT,,2x1 Magma,1:08,0:28,1:36,Stables,2:00,3:36,0:03,3:39,Fort,1:38,5:28,6/12,6,12,0.50,--,No,2,4:59,Calc,0:11,1,0,1,1,5:10,0:23,739,0,1,0,0,0,5:51,5:17,4:09,4:32,0:47,1:39,3:17,0:23,5:51,Prempt,0:13,1,,6:04,Zero,5,,5,--,B57,F Diag,F,Diag,83,Small Cage,94,0:52,6:56,Stables,GAP,1,B-TST,1:36,,,,2:00,3:36,20,60,30,0,28,16,89,0.9319306285,922.4217473,"bastion split, fortress split, rates"
🇮🇹,drip120,1,1,7:00.799,7:01.494,03 Jan 2024,852,(V),8802654848425114236,15,Yes,https://www.speedrun.com/mc/run/y8ko8qny,7,1,494,421494,421,0,410359,1.027134777,446254,0.9445159035,-0.0005,0.6531,0.416697185,668.8377,1024.0714,981.3529,0.70306,,BT,,2x1 Magma,1:18,0:15,1:33,Treasure,1:38,3:11,0:21,3:32,Fort,0:58,4:57,6/9,6,9,0.67,--,No,2,4:26,Calc,0:27,1,0,0,0,4:53,0:25,821,0,1,0,0,0,5:22,4:30,3:12,3:37,1:14,2:30,3:28,0:25,5:22,Prempt,0:22,0,,5:44,Perch,5,--,--,5,O,--,--,,--,--,--,1:16,7:00,Treasure,BOOMR,4,8/12,1:33,,,,1:38,3:11,21,70,26,0,,22,852,0,0,"fort distance, perch"
🇨🇦,Aquacorde,0,1,7:08.699,7:08.699,10 Mar 2026,55,(Q),2129033182999502069,,,https://www.youtube.com/watch?v=zhRaEdGVzsQ,7,8,699,428699,429,1,410359,1.044692574,410359,1.044692574,-0.0005,0.9729,0.8093785716,939.0485,965.2307,966.5123,0.77903,,BT,✔,2x1 Magma,1:29,0:07,1:36,Housing,1:37,3:13,0:12,3:25,Fort,1:04,4:29,6/10,6,10,0.60,0:12,Yes,2,4:41,Calc,0:15,1,0,0,0,4:56,1:07,1773,0,0,0,1,0,6:03,4:41,3:12,4:19,1:39,2:27,3:43,1:34,6:03,Prempt,0:17,1,,6:20,Zero,5,,5,--,O,B 1/8,B,1/8,--,--,93,0:48,7:08,Housing,TOPD,3,--,1:36,,,,1:37,3:13,24,67,31,53,58,13,55,0.9835001388,949.3044886,"rates, terrain to sh"
🇺🇦,loodlow,0,1,7:10.076,7:11.350,21 Oct 2025,195,(V),-1058044179150873683,,Yes,https://www.speedrun.com/mc/runs/ydo05ojz,7,11,350,431350,431,0,410359,1.051152771,410359,1.051152771,-0.0005,0.9071,0.8452409672,869.6479,958.7098,960.4458,0.80897,,BT,,2x1 Magma,1:31,0:35,2:06,Housing,1:45,3:51,0:05,3:56,Fort,0:37,4:33,6/7,6,7,0.86,0:13,Yes,1,4:46,Blind,1:05,1,0,0,0,--,--,136,1,0,0,0,0,--,4:46,3:15,3:15,1:34,2:24,3:14,1:18,5:51,Prempt,0:29,0,,6:20,Zero,5,,5,--,O,B Diag,B,Diag,103,Tall Boi,95,0:50,7:10,Housing,TOPD,5,TR,2:06,,,,1:45,3:51,23,80,25,15,,32,195,0.4764047362,456.7338662,"nav, dig down"
🇨🇦,Aquacorde,0,1,7:09.181,7:12.114,16 Feb 2026,77,(Q),-6645733506759892987,,,https://www.youtube.com/watch?v=VAccioV5iEA,7,12,114,432114,432,0,410359,1.053014556,410359,1.053014556,-0.0005,0.9622,0.8558663285,920.6167,956.7515,958.6342,0.81781,,BT,,RP,1:08,0:48,1:56,Bridge,2:04,4:00,0:11,4:11,Fort,1:15,5:26,7/10,7,10,0.70,0:10,Yes,1,5:36,Blind,0:41,2,0,0,0,--,--,180,1,0,0,0,0,--,5:36,4:28,4:28,0:47,1:33,2:58,0:51,6:17,OEPR,0:06,1,,6:23,Zero,5,,5,--,O,B Diag,B,Diag,91,M91,99,0:46,7:09,Bridge,DK,4,TS,1:56,,,,2:04,4:00,18,109,19,19,24,30,77,0.9553731326,914.0547253,
🇩🇰,Bloopy,0,1,7:13.157,7:13.157,16 Oct 2025,200,(V),-5449384532227041969,,Yes,https://www.speedrun.com/mc/runs/yv535lom,7,13,157,433157,433,0,410359,1.055556232,410359,1.055556232,-0.0005,0.9048,0.8705857954,863.2329,954.0199,956.1143,0.83003,,BT,,2x1 Magma,1:03,0:24,1:27,Housing,1:49,3:16,0:12,3:28,Fort,1:14,4:42,5/9,5,9,0.56,0:15,Yes,1,4:57,Blind,1:11,1,0,0,0,--,--,587,0,1,0,0,0,--,4:57,3:54,3:54,1:23,2:16,3:45,1:26,6:08,OEPR,0:12,2,,6:20,Zero,6,,6,--,O,F Diag,F,Diag,103,Tall Boi,95,0:53,7:13,Housing,MANH,3,SINGLE,1:27,,,,1:49,3:16,18,108,43,44,,16,200,0.4493289641,428.6687885,
🇵🇱,watermelon1708,0,1,7:16.326,7:16.326,07 Dec 2025,148,(V),-3009416634026052013,,Yes,https://www.speedrun.com/mc/runs/y9wx8x2z,7,16,326,436326,436,0,410359,1.063278739,410359,1.063278739,-0.0005,0.9287,0.9168588966,877.8707,945.2971,948.1210,0.86825,,BT,,2x1 Magma,1:24,0:05,1:29,Bridge,1:59,3:28,0:15,3:43,Fort,1:42,5:45,6/14,6,14,0.43,--,No,2,5:17,Calc,0:20,1,0,0,0,5:37,0:25,671,0,1,0,0,0,6:10,5:25,4:01,4:26,1:01,1:50,3:32,0:25,6:10,Prempt,0:16,2,,6:26,Zero,6,,6,--,O,F Diag,F,Diag,91,M91,99,0:49,7:15,Bridge,SOOG,4,RT,1:29,,,,1:59,3:28,21,128,60,12,32,49,148,0.7231206475,683.5638768,
🇳🇴,skycrab1,0,1,7:16.474,7:16.560,02 Jan 2026,122,(Q),-8753882162041693203,,Yes,https://youtu.be/RLqLbCwTQWM?si=OdjKGudQYJtaeVd_,7,16,560,436560,437,1,410359,1.063848971,410359,1.063848971,-0.0005,0.9408,0.9203701089,888.7273,944.6273,947.5103,0.87113,,BT,,2x1 Magma,1:47,0:16,2:03,Treasure,1:40,3:43,0:29,4:12,Fort,0:58,5:25,6/9,6,9,0.67,--,No,2,4:56,Calc,0:15,1,0,0,0,5:11,0:30,1066,0,0,1,0,0,5:55,5:10,3:23,3:53,1:14,2:04,3:02,0:30,5:55,Prempt,0:29,3,,6:24,Zero,6,,6,--,O,F Diag,F,Diag,88,M88,99,0:50,7:14,Treasure,BOOMR,4,--,2:03,,,,1:40,3:43,22,110,45,31,29,21,122,0.8339475236,787.7695596,
🇵🇱,okshey,0,1,7:21.820,7:21.820,22 Mar 2026,43,(Q),todo,,,https://www.youtube.com/watch?v=LP5nP_U9eQ0,7,21,820,441820,442,1,410359,1.076667016,410359,1.076667016,-0.0005,0.9787,1.002861787,908.8442,928.5959,933.0165,0.93857,,BT,✔,2x1 Magma,1:13,0:27,1:40,Treasure,1:50,3:30,0:13,3:43,Fort,1:32,5:15,6/11,6,11,0.55,0:11,Yes,2,5:26,Calc,0:19,1,0,0,0,5:45,0:23,558,0,1,0,0,0,6:08,5:26,4:13,4:36,1:07,1:55,3:38,0:53,6:08,Prempt,0:25,1,0,6:33,Zero,5,3,5,--,B58,F Diag,F,Diag,86,Tall Cage,95,0:48,7:21,Treasure,BOOMR,4,--,1:40,,,,1:50,3:30,20,79,58,36,23,29,43,0.9920808232,921.2422263,
